Phồn_thể,Giản_thể,Pinyin,Phiên_âm_Hán_Việt
東,东,dōng,đông / đang
有,有,yǒu,hữu / dựu
朝,朝,cháo,triều / triêu
期,期,qī,kì / kỳ / ky
未,未,wèi,vị / mùi
本,本,běn,bản / bổn
朱,朱,zhū,chu / cho
朴,朴,pǔ,phác / phắc
朵,朵,duǒ,đoá / đóa
曖,暧,ài,ái / áy
曚,曚,méng,mông / mồng
曠,旷,kuàng,khoảng / khoáng
曩,曩,nǎng,nán / nẵng
曳,曳,yè,duệ / dấy
更,更,gèng,canh / ngạnh / cánh / cành
曼,曼,màn,man / mạn
會,会,huì,hội / cối
晴,晴,qíng,tình / tạnh
暈,晕,yūn,vừng / vựng
暍,暍,yē,yết / hát
暝,暝,míng,minh / mính
暴,暴,bào,bộc / bạo
暹,暹,xiān,tiêm / xiêm
曀,曀,yì,ế / ê
曉,晓,xiǎo,hẻo / hiểu
柞,柞,zhà,trách / tạc
柢,柢,dǐ,đế / để
柨,柨,bù,thị / sĩ
柱,柱,zhù,trụ / trú
柴,柴,chái,sài / tí
柹,柹,shì,thị / sĩ
柺,拐,guǎi,quái / quải / quảy / quầy
栓,栓,shuān,xuyên / thoen
枻,枻,yì,tiết / duệ
柁,柁,tuó / duò,đà / xà / đả
柎,柎,fū,phụ / phu / phủ
柑,柑,gān,cam / cùm
染,染,rǎn,nhiễm / nhuộm
柘,柘,zhè,giá / chá
柙,柙,xiá,giáp / hiệp
柚,柚,yòu,trục / dữu / dâu
枕,枕,zhěn,chẳm / chấm / chẩm
枝,枝,zhī,chi / kỳ
枰,枰,píng,bình / bính
枴,拐,guǎi,quái / quải / quảy / quầy
枵,枵,xiāo,hiêu / hèo
枷,枷,jiā,gia / da
枸,枸,gǒu,củ / cẩu / cú
枹,枹,bāo,phu / phù / bao
杳,杳,yǎo,yểu / liểu
杵,杵,chǔ,xử / ngỏ
杶,杶,chūn,đòn / suân
杷,杷,pá,ba / bà
杻,杻,chǒu,nữu / xiềng
杼,杼,zhù,trữ / thự / thữ
板,板,bǎn,bản / ván
枅,枅,jī,bình / phanh
梱,梱,kǔn,khổn / khốn / ngôn
梹,梹,bīn,tân / biêng
棋,棋,qí,kỳ / kí / cời
棍,棍,gùn,côn / gon / gòn
棒,棒,bàng,bổng / vổng
棖,枨,chéng,tranh / trường / trành
棗,枣,zǎo,táo / tảo
棘,棘,jí,cức / gấc
桷,桷,jué,giác / dác
梆,梆,bāng,bang / bương
梏,梏,gù,cốc / gáo
梐,梐,bì,bệ / bẹ
條,条,tiáo,thiêu / điều
梢,梢,shāo,tiêu / sao
梧,梧,wú,ngô / ngộ
梭,梭,suō,thoa / toa / thoi
桄,桄,guāng,quang / quáng
桅,桅,wéi,nguy / ngôi
案,案,àn,yên / an / án
桎,桎,zhì,chất / chuối
桮,桮,bēi,bễ / bôi
桲,桲,po,bột / vụt
桴,桴,fú,phu / phù
桶,桶,tǒng,dũng / thùng
栖,栖,qī,tê / thê
栗,栗,lì,sắt / trật / lật / sựt / lặt / lứt / rất / rật / rứt / sật
校,校,xiào,hào / hiệu / giáo / chò / giâu
栢,栢,bǎi,bách / bứa
株,株,zhū,chu / châu / chò
格,格,gé,cách / các
栽,栽,zāi,tài / tải
桁,桁,héng,hàng / hành / hãng
楣,楣,méi,mi / me
楨,桢,zhēn,trinh / trính
楬,楬,jié,kiệt / kệ
楮,楮,chǔ,chử / dó
楳,楳,méi,kì / mõ
楷,楷,kǎi,khải / giai
榔,榔,láng,lang / lăng / trang
榜,榜,bǎng,bàng / bảng / báng / bãng / bấng / bẩng / bẫng / bứng / bửng / vảng
椰,椰,yē,gia / da
椳,椳,wēi,ôi / ổi
椷,椷,jiān,hàm / giam / ham
椹,椹,shèn,châm / thầm
椿,椿,chūn,xuân / thung
楛,楛,hù,hộ / khổ / gỗ
楠,楠,nán,nam / nêm
楢,楢,yóu,do / giùa
棵,棵,kē,quả / khỏa
棹,棹,zhào,trác / trạo / chèo
棺,棺,guān,quán / quan
椅,椅,yǐ,y / ỷ
椇,椇,jǔ,củ / gụ
植,植,zhí,trĩ / thực
椎,椎,zhuī,chuy / chòi
椐,椐,jū,cư / cử
棟,栋,dòng,đống / gióng / chống / đóng / đúng
棣,棣,dì,lệ / thế / đại
棧,栈,zhàn,sàn / sạn / trăn / sến / chăn / xiễn
棨,棨,qǐ,khải / khể
棬,棬,quān,quyển / khuyên
森,森,sēn,sâm / chùm
棱,棱,léng,lăng / săng
棲,栖,qī,tê / thê
樾,樾,yuè,việt / vẹt
橅,橅,mó,mô / vồ
橈,桡,ráo,nhiêu / nạo
橊,橊,liú,lưu / lựu
橋,桥,qiáo,kiều / cao / khiêu
橙,橙,chéng,sập / chanh
橛,橛,jué,quyết / cột
機,机,jī,cơ / ky
樂,乐,lè,lạc / nhạc / nhạo
樊,樊,fán,phiền / phàn
樑,梁,liáng,lương / rường
樓,楼,lóu,lâu / lầu
樗,樗,chū,vụ / xư
標,标,biāo,tiêu / phiêu / bêu
樳,桪,xún,tầm / giầm
樸,朴,pǔ,bốc / phác
槍,枪,qiāng,thương / sanh
槎,槎,chá,tra / xay
槐,槐,huái,hoè / hòe
槓,杠,gàng,cống / cổng
槧,椠,qiàn,tạm / thiễm
槨,椁,guǒ,quách / quạch
槭,槭,qì / cù,túc / sắc
槽,槽,cáo,tào / tàu
榦,干,gàn,can / cán / hàn
榱,榱,cuī,suy / suôi
榷,榷,què,giác / các
榾,榾,gǔ,cốt / cột
槁,槁,gǎo,cảo / cau
槅,槅,gé,cách / hạch
槊,槊,shuò,sáo / giáo / sóc
槌,槌,chuí,duì / chùy
歹,歹,dǎi,đãi / ngạt
死,死,sǐ,tử / tợ
殊,殊,shū,thù / thùa
殘,残,cán,tàn / thàn
殫,殚,dān,đàn / đạn
殮,殓,liàn,liễm / liệm
殯,殡,bìn,tấn / thấn
殷,殷,yīn,ẩn / an / ân
歆,歆,xīn,hám / ham / hâm / hăm / hom / hum / hôm / hẩm / hằm / hổm
歇,歇,xiē,hiết / hết
歐,欧,ōu,âu / ẩu
歙,歙,shè,hấp / thiệp
歟,欤,yú,dư / ru
正,正,zhèng,chánh / chính
武,武,wǔ,vũ / võ
歪,歪,wāi,oa / quay / oai
檯,台,tái,đài / thai
櫂,櫂,zhào,trạc / trạo
櫃,柜,guì,quỹ / cũi
櫟,栎,lì,lịch / lao / lác
櫳,栊,lóng,long / trồng
欄,栏,lán,lang / lan / lườn / giàn / ràn / lán / lơn
欬,欬,kài,ái / khái
欸,欸,ǎi,ái / ai
橤,橤,ruǐ,nhị / nhuỵ
橧,橧,zēng,tăng / tằng
橫,横,héng,hoành / hoạnh / quáng
檁,檩,lǐn,lẫm / bấm
檐,檐,yán,diêm / thiềm
檔,档,dàng,đương / đáng
檢,检,jiǎn,ghém / kiểm
檬,檬,méng,mông / môm / muồng / muỗm
汕,汕,shàn,sán / sươn / sớn
汗,汗,hàn,hãn / hàn
汙,污,wū,oa / ô / ố
汛,汛,xùn,tấn / vàm
汜,汜,sì,dĩ / tỷ / dẫy
汝,汝,rǔ,nhữ / nhớ
汞,汞,gǒng,cống / hống
汨,汨,mì,mịch / cốt / nhặt
气,气,qì,khí / khất
水,水,shuǐ,thuỷ / thủy
永,永,yǒng,vắng / vĩnh
汀,汀,tīng,đinh / đênh
汁,汁,zhī,hiệp / chấp / trấp
汆,汆,cuān,tù / thộn
汊,汊,chà,xá / xoà
汐,汐,xī,tịch / tách
毗,毗,pí,bì / tỳ
毛,毛,máo,mô / mao
毯,毯,tǎn,thảm / xồm
毳,毳,cuì,thuế / thúy
氂,牦,máo,li / ly
氈,毡,zhān,chiên / chen
氏,氏,shì,thị / chi
氐,氐,dī,để / đê
殺,杀,shā,sát / sái / tát
殽,殽,xiáo,hào / hạo
殿,殿,diàn,điến / điện
毀,毁,huǐ,huỷ / hủy
毋,毋,wú,vô / mưu
每,每,měi,môi / mỗi / mũi / mủ / hỏi / mọi / mỏi / mủi
毒,毒,dú,độc / đốc
比,比,bǐ,bí / tỉ / bỉ / bì
沼,沼,zhǎo,chiểu / trẻo
沽,沽,gū,cổ / cô
沾,沾,zhān,triêm / chăm / điếp
泄,泄,xiè,tiết / duệ / tướt
泉,泉,quán,tuyền / toàn
泊,泊,pō,bạc / phách
泑,泑,yōu,ao / ửu
泔,泔,gān,hạm / cam
沫,沫,mò,mạt / mượt
沬,沬,mèi,muội / mội
沮,沮,jǔ,tự / thư / trở
沱,沱,tuó,đà / đờ / đừ
沴,沴,lì,lệ / diễn
沸,沸,fèi,phất / phí
油,油,yóu,du / dầu
治,治,zhì,trì / trị
沌,沌,dùn,độn / xộn
沐,沐,mù,mộc / múc
沒,没,méi,một / mốt
沔,沔,miǎn,miện / miền
沖,冲,chōng,trùng / xung / trong
沙,沙,shā,sa / xa / sá / xoà / nhểu / sà
沚,沚,zhǐ,chỉ / chảy
沛,沛,pèi,bái / phái / phải
汰,汰,tài,thái / thải / sưởi / thãi / thảy / thẩy
汲,汲,jí,cấp / bập / ngập
汶,汶,wèn,môn / vấn
沁,沁,qìn,sấm / thấm / tắm
沂,沂,yí,ngân / nghi
沃,沃,wò,ốc / óc
沆,沆,hàng,hàng / hãng
沈,沈,shěn / chén,thẩm / trấm / đắm / trầm
洳,洳,rù,như / nhơ
活,活,huó,hoạt / quạt
洽,洽,qià,hiệp / hợp
洿,洿,wū,hộ / ô
浡,浡,bó,bột / bọt
浣,浣,huàn,hoán / cán
浥,浥,yì,ấp / ướp
浦,浦,pǔ,phổ / phố
洚,洚,jiàng,hồng / giáng
洛,洛,luò,lạc / rặc
洞,洞,dòng,đỗng / đọng
洟,洟,tì,di / thế / dề
洩,泄,xiè,tiết / duệ / dáy
洪,洪,hóng,hồng / hòng
洮,洮,táo,thao / đào / rệu
洲,洲,zhōu,châu / chao
泱,泱,yāng,ương / áng
洁,洁,jié,khiết / cát
洄,洄,huí,hồi / hói
洊,洊,jiàn,tiến / tuồn
洌,洌,liè,liệt / rét
洒,洒,sǎ,sái / thối / tẩy
洗,洗,xǐ,tiển / tẩy
洙,洙,zhū,chu / thù / chua
泗,泗,sì,tứ / tứa
泠,泠,líng,linh / lênh
泡,泡,pào,bào / phao / bàu
泣,泣,qì,khấp / khắp
泥,泥,ní,lầy / nể / nễ / nê / nơi / nệ / ne / nè / né / nề
泫,泫,xuàn,huyên / huyễn
泮,泮,pàn,phán / bợn
泯,泯,mǐn,mẫn / miến / dân
淳,淳,chún,thuần / choang
混,混,hùn,cổn / hỗn / hổn
淹,淹,yān,yểm / yêm / êm
淺,浅,qiǎn,tiên / thiển
添,添,tiān,thiêm / thêm
渚,渚,zhǔ,chử / chã
渡,渡,dù,độ / đò
渤,渤,bó,bột / bọt
淒,凄,qī,thê / thiến
淟,淟,tiǎn,điến / đén
淢,淢,yù,vực / vặc
淤,淤,yū,ứ / ứa
淥,渌,lù,lục / lóc
淩,凌,líng,lăng / lâng
淪,沦,lún,luân / lún
淬,淬,cuì,thối / rót
涎,涎,xián,tiên / duyên / diện
涓,涓,juān,quyên / quen
涖,涖,lì,lị / rị / rỉ
涯,涯,yá,nhai / rượi
液,液,yè,dịch / giá
涸,涸,hé,hạc / hạt
涼,凉,liáng,lương / lượng
淋,淋,lín,lâm / lấm
浪,浪,làng,lang / lãng
浬,浬,lǐ,lí / rí
浸,浸,jìn,tẩm / tắm
浼,浼,měi,miễn / mỗi
浿,𬇙,pèi,bái / phái / phối
涂,涂,tú,đồ / dơ
涅,涅,niè,niết / nết
涇,泾,jīng,kinh / kính
溺,溺,nì,niệu / nịch
滂,滂,pāng,bàng / bẵng
滇,滇,diān,điền / chan
滌,涤,dí,địch / sạch
滑,滑,huá,cốt / hoạt / gột
滔,滔,tāo,thao / đào
滯,滞,zhì,trệ / sệ
滲,渗,shèn,sấm / rướm
溕,溕,méng,trùng / trụng
準,准,zhǔn,chuyết / chuẩn
溘,溘,kè,khạp / hụp
溧,溧,lì,lật / rớt
溪,溪,xī,khê / khe
溫,温,wēn,uẩn / ôn / ồn
溲,溲,sōu,sưu / sửu
溶,溶,róng,dong / ròng
湓,湓,pén,bùn / bồn
湘,湘,xiāng,tương / sương
湛,湛,zhàn,tiêm / đam / thầm / trạm / đậm
湧,涌,yǒng,dũng / rụng
湫,湫,jiǎo,tưu / tiểu / tiều
湯,汤,tāng,thang / sương / thãng
湲,湲,yuán,viên / bợn
源,源,yuán,nguyên / nguồn
渥,渥,wò,ác / ốc
渦,涡,wō,oa / qua
渭,渭,wèi,vĩ / vị / vấy / vời / vợi
渴,渴,kě,kiệt / khát
渺,渺,miǎo,miểu / diểu
湄,湄,méi,mi / mưa
湅,湅,liàn,luyện / rịn
湎,湎,miǎn,miện / giờn
澤,泽,zé,trạch / rạch
澥,澥,xiè,giải / hải
澮,浍,huì,quái / gội
澳,澳,ào,áo / úc
澶,澶,chán,thiền / đạn
激,激,jī,khích / kích
濁,浊,zhuó,trạc / trọc
濃,浓,nóng,nùng / nống
潺,潺,chán,sàn / sờn
澄,澄,chéng,trừng / chừng
澆,浇,jiāo,kiêu / nghiêu / nhau / nhiều / nhão
澇,涝,lào,lao / lão / lạo
澌,澌,sī,tê / ti
澎,澎,péng,bành / bềnh
澠,渑,miǎn,mẫn / thằng
澡,澡,zǎo,táo / tháo
漫,漫,màn,man / mạn
漱,漱,shù,thấu / sấu
漸,渐,jiàn,tiêm / tiệm / tiềm
潁,颍,yǐng,dĩnh / toánh
潤,润,rùn,nhuần / nhuận
潦,潦,liáo,lao / lạo / lẻo
潭,潭,tán,đàm / đằm
潰,溃,kuì,hội / hói
滴,滴,dī,tích / trích / nhích
滾,滚,gǔn,cổn / củn
漂,漂,piào,phiếu / phiêu / phều
漆,漆,qī,thế / tất
漑,漑,gài,cái / khái / ngấy
漓,漓,lí,li / lầy
漚,沤,ōu,âu / ẩu
漣,涟,lián,liên / lăn
炙,炙,zhì,chá / chích
炭,炭,tàn,than / thán
炮,炮,pào,bào / pháo
炯,炯,jiǒng,quýnh / huỳnh
炳,炳,bǐng,bính / bỉnh / bảnh
烊,烊,yáng,dương / rang
烘,烘,hōng,hồng / hong
烝,烝,zhēng,chứng / chưng
瀾,澜,lán,lan / làn / ràn / tràn / lượn / trơn
灑,洒,sǎ,sái / rưới / rạy / rởi / rợi / sợi
灨,灨,gàn,công / cám
火,火,huǒ,hoả / hỏa
灰,灰,huī,khôi / hôi
炊,炊,chuī,xuy / xúy / sôi / xuý / xôi
炎,炎,yán,đàm / diễm / viêm
炖,炖,dùn,đôn / đùn / don
瀆,渎,dú,độc / đậu
瀋,沈,shěn,thẩm / thẳm
瀏,浏,liú,lưu / lựu
瀘,泸,lú,lô / lư
瀝,沥,lì,lịch / lạch
瀠,潆,yíng,oanh / uynh
瀧,泷,lóng,lang / rông
瀼,瀼,ráng,nhưỡng / nhương.
濆,𣸣,fén,phần / phẫn
濊,濊,huì,uế / khoát
濕,湿,shī,thấm / thấp / chập / dấp / nhấp
濟,济,jì,tế / tể
濡,濡,rú,nhu / nhi / nhụa
濫,滥,làn,lãm / lạm / cãm
濺,溅,jiàn,tiên / tiễn
濼,泺,luò,lạc / bạc / nhợt
燕,燕,yàn,yên / yến / én
營,营,yíng,doanh / dinh
燠,燠,yù,úc / ốc / ứ
燭,烛,zhú,chúc / đuốc
燻,熏,xūn,huân / hun
燼,烬,jìn,tần / tẫn
爆,爆,bào,bạc / bộc / bạo
爐,炉,lú,lô / lư / lò / tro
熠,熠,yì,tập / dập
熨,熨,yùn,uất / úy / ủi
熯,熯,hàn,hãn / nhiễn
熾,炽,chì,sí / xé
燃,燃,rán,nhiên / nhen
燉,炖,dùn,đôn / đốn / đun
燎,燎,liáo,liệu / leo / riu
燒,烧,shāo,thiêu / thiếu
煏,煏,bì,bức / phức
煖,煖,nuǎn,huyên / noãn
煤,煤,méi,môi / muồi
煨,煨,wēi,ổi / oi
煬,炀,yáng,dương / dượng
熄,熄,xī,tức / tắt
熅,煴,yùn,ùn / un
熇,熇,hè,khảo / hốc
焉,焉,yān,yên / diên / vờn
焙,焙,bèi,bồi / vùi
焚,焚,fén,phần / phẫn
焜,焜,kūn,côn / hỗn
焠,焠,cuì,thối / sốt
無,无,wú,mô / vô
焦,焦,jiāo,tiêu / tiều
煎,煎,jiān,tiên / tiễn
獃,呆,dāi,ngai / ngốc
獓,獓,áo,ngao / ngáo
獗,獗,jué,quyết / quệ
獠,獠,liáo,liêu / lão
獬,獬,xiè,giải / hải
獵,猎,liè,liệp / lốp
獺,獭,tǎ,thát / rái
獼,猕,mí,di / mi
犴,犴,àn,ngạn / ngan
狄,狄,dí,địch / thích
狌,狌,shēng,tinh / tính
狠,狠,hěn,ngận / ngoan
狹,狭,xiá,hiệp / hẹp
猗,猗,yī,y / ỷ / ả
猶,犹,yóu,dứu / do
猿,猿,yuán,viên / vượn
牀,床,chuáng,sàng / giường
牖,牖,yǒu,dữu / dũ
牝,牝,pìn,tẫn / bẫn
牟,牟,móu,mâu / mau / mưu / mào / mầu / màu / mồ
牣,牣,rèn,nhận / nhẳn
牽,牵,qiān,khiên / khản
犂,犂,lí,lưu / lê
犛,牦,máo,ly / mao
爬,爬,pá,ba / bò
爭,争,zhēng,tranh / tránh
爰,爰,yuán,viên / vươn
爲,为,wèi,vi / vị / vay
父,父,fù,phụ / phủ
爹,爹,diē,đà / đa
爽,爽,shuǎng,sảng / sửng
爾,尔,ěr,nhĩ / nhãi
甍,甍,méng,manh / mành
甓,甓,pì,bích / bịch
甕,瓮,wèng,úng / ống
生,生,shēng,sanh / sinh
甯,宁,níng,trữ / ninh / nịnh
甸,甸,diàn,điền / điện
畏,畏,wèi,uý / úy
畜,畜,chù,súc / húc / sộc / sục / xộc / róc
瓊,琼,qióng,quýnh / quỳnh / quạnh / quành / quầng / quềnh
瓠,瓠,hù,hoạch / hồ
瓢,瓢,piáo,bầu / biều
瓦,瓦,wǎ,ngói / ngõa
瓩,瓩,qiān,thiên / ngoã
瓷,瓷,cí,tư / từ / sứ
瓿,瓿,bù,phẫu / bẫu
甄,甄,zhēn,chân / chấn
理,理,lǐ,lý / lí
琢,琢,zuó,trác / chác
琵,琵,pí,tì / tỳ
瑁,瑁,mào,mạo / mao / mội / mùi / mồi
瑚,瑚,hú,hồ / hô
瑰,瑰,guī,khôi / côi
瑱,瑱,tiàn,thiến / chấn
璃,璃,lí,li / lê / ly
率,率,lǜ,luật / suất / súy / soát
玉,玉,yù,túc / ngọc
王,王,wáng,vượng / vương
玲,玲,líng,linh / liếng
玳,玳,dài,đại / đồi
玷,玷,diàn,điếm / đém
珉,珉,mín,mân / dân
珥,珥,ěr,nhị / nhĩ / nhẹ / lẹ
癉,瘅,dān,đan / đản
癐,癐,guì,hội / hủi
癒,愈,yù,dũ / rủ
癖,癖,pǐ,tích / phích
癜,癜,diàn,điến / đẹn
癟,瘪,biě,tất / biết
癢,痒,yǎng,dạng / dưỡng
癥,症,zhēng,chứng / trưng
瘁,瘁,cuì,tụy / tuỵ
瘕,瘕,jiǎ,gia / hà
瘖,瘖,yīn,âm / ốm
瘛,瘛,chì,khiết / xiết
瘥,瘥,chài,sái / ta
瘦,瘦,shòu,sấu / xấu
瘭,瘭,biāo,tiêu / tiếu
瘰,瘰,luǒ,lỗi / lõa
痀,痀,jū,câu / củ / khú
痃,痃,xuán,huyền / hiền
痌,痌,tōng,đồng / thông
痕,痕,hén,ngân / hằn / ngẩn / ngấn / ngần / ngằn
痰,痰,tán,đàm / đờm
痱,痱,fèi,phi / phỉ
痹,痹,bì,tê / tý
痿,痿,wěi,nuy / oải
番,番,fān,ba / phiên / phan / bà / phen / phiện
畫,画,huà,hoạch / hoạ / họa
當,当,dāng,đương / đáng
疋,疋,pǐ,thất / sơ / sất / nhã
疏,疏,shū,sơ / sớ
疚,疚,jiù,cứu / nhíu
疴,疴,kē,a / kha
疸,疸,dǎn,đản / đớn
眭,眭,suī,huy / khoé / khoẻ
眼,眼,yǎn,nhẫn / nhản / nhãn / nhặn / nhởn
睇,睇,dì,thê / đê
睒,睒,shǎn,thiểm / gườm / gượm
睜,睁,zhēng,tranh / tĩnh
睢,睢,suī,huy / tuy
睹,睹,dǔ,đổ / đủ
瞋,瞋,chēn,sân / trân
相,相,xiāng,tương / tướng
眇,眇,miǎo,dẻo / miễu
眈,眈,dān,đam / xẩm
眉,眉,méi,mi / my
看,看,kàn,khản / khan / khán / khen / khăn / khớn
眙,眙,yí,di / dị
眥,眦,zì,tí / trại / xải
眩,眩,xuàn,huyễn / gioèn
盈,盈,yíng,doanh / dềnh
盒,盒,hé,hạp / hộp
盛,盛,shèng,thịnh / thình
盜,盗,dào,đạo / dừa
盞,盏,zhǎn,trản / chén
盡,尽,jǐn,tẫn / tận
監,监,jiān,giam / giám
盧,卢,lú,lô / lư
百,百,bǎi,mạch / bá / bách / trăm
的,的,de,để / đích
皋,皋,gāo,cao / cau
皎,皎,jiǎo,kiểu / hiệu
皐,皐,gāo,cao / cau
皖,皖,wǎn,hoàn / hoán
皜,皜,hào,hạo / cảo
盆,盆,pén,vồn / bùn / bồn / bộn / dồn / buồn / bòn
碭,砀,dàng,nương / nãng
碰,碰,pèng,bính / binh
碾,碾,niǎn,niễn / chiển
磅,磅,bàng,bàng / bảng
磊,磊,lěi,lỗi / lối
磋,磋,cuō,tha / xay / gây / xoay / xây
磑,硙,wéi,cai / ngại
磔,磔,zhé,trách / kẹt
砭,砭,biān,bơm / biêm / bom / bàm / bâm / bãm / bìm / bẫm / bờm
砲,砲,pào,bác / pháo / phao
硃,朱,zhū,chu / cho
硏,硏,yán,nghiễn / nghiên
硯,砚,yàn,nghiễn / nghiên / nghẽn / nghiền
碁,碁,qí,kỳ / cờ
碣,碣,jié,kiệt / kệ
碧,碧,bì,bích / biếc / vách
矢,矢,shǐ,thỉ / tẻ / thẻ
矣,矣,yǐ,hỉ / hĩ
矮,矮,ǎi,ải / nụy
矻,矻,kū,ngột / khốt
矼,矼,gāng,khang / cang / xoang
研,研,yán,nghiên / nghiện / nghiền / nghiến
砝,砝,fǎ,kiếp / pháp
砧,砧,zhēn,châm / chiêm / chỉm
瞑,瞑,míng,minh / miễn / manh
瞞,瞒,mán,man / môn
瞭,瞭,liào / liǎo,liệu / lẹo
瞳,瞳,tóng,đồng / tròng
瞿,瞿,qú,cù / củ
矑,矑,lú,lô / lư / lờ / lừ
矗,矗,chù,súc / sực
矟,矟,shuò,sáo / sác
租,租,zū,tô / to / tò
秸,秸,jiē,kiết / gặt
移,移,yí,di / sỉ / dị / dời
稅,税,shuì,thuế / thối / thoát
稊,稊,tí,đề / thê
稍,稍,shāo,sao / sảo
稔,稔,rěn,nhẫm / nẫm / nậm
稜,棱,léng,lăng / săng / lắng
禁,禁,jìn,câm / cấm
禋,禋,yīn,nhân / yên
禍,祸,huò,hoạ / họa
禦,御,yù,ngữ / ngừa
禪,禅,chán,thiện / thiền
禫,禫,dàn,đạm / đệm
禿,秃,tū,thóc / ngốc
秉,秉,bǐng,bỉnh / bảnh
示,示,shì,kì / thị
礿,礿,yuè,dược / thược
祇,祇,qí,kì / chi
祝,祝,zhù,chú / chúc
祟,祟,suì,túy / trúy
祧,祧,tiāo,diêu / thiêu
票,票,piào,tiêu / phiếu / phiêu
祭,祭,jì,sái / tế
磨,磨,mó,ma / má / mài
磷,磷,lín,lân / lấn
磻,磻,pán,bàn / bà
磽,硗,qiāo,khao / nghiêu
礌,礌,léi,lôi / sỏi
礎,础,chǔ,sở / sờ
礦,矿,kuàng,khoáng / quáng
礬,矾,fán,phàn / phèn
符,符,fú,phù / bùa
笪,笪,dá,đát / đác
第,第,dì,đệ / đậy
笱,笱,gǒu,cẩu / cú / càu
筋,筋,jīn,cân / gân
筍,笋,sǔn,tấn / duẩn
筏,筏,fá,phiệt / phẹt
筤,筤,láng,lang / lẵng
竅,窍,qiào,khiếu / khíu
竣,竣,jùn,thuyên / thuân
竺,竺,zhú,đốc / trúc
竿,竿,gān,can / cán / cần
笈,笈,jí,cấp / cặp
笘,笘,shān,đệm / rơm / chùm / xờm / chòm / chũm / chụm / xúm
笙,笙,shēng,sanh / xênh / sinh / sênh / sềnh
笠,笠,lì,lạp / lợp
穰,穰,ráng,nhương / nhưỡng
穹,穹,qióng,khung / khum
空,空,kōng,không / khống / khổng
窒,窒,zhì,trất / khỏng
窔,窔,yào,yểu / diểu
窕,窕,tiǎo,thiêu / điệu
窞,窞,dàn,đạm / dòm / nảm.
窶,窭,jù,lũ / cũ
稟,禀,bǐng,lẫm / bẩm
稭,稭,jiē,giai / kiết
種,种,zhǒng,chúng / chủng / chõng
稱,称,chēng,xưng / xứng
稽,稽,jī,kê / khể / ghê
穆,穆,mù,mục / mặc
積,积,jī,tích / tí
穩,稳,wěn,ổn / ủn
籍,籍,jí,tịch / tạ
籖,籖,qian,thiêm / tăm
籚,籚,lú,lư / lơ / lờ / lừ
籠,笼,lóng,lung / lồng / lộng
籲,吁,yù,dụ / hu
粃,粃,bǐ,chủy / tẻ
粢,粢,zī,tư / tế
粥,粥,zhōu,chúc / dục
篥,篥,lì,lật / sặt
篩,筛,shāi,si / rây
篷,篷,péng,bồng / bong
簇,簇,cù,thấu / thốc
簍,篓,lǒu,lũ / lâu
簾,帘,lián,liêm / rèm
簿,簿,bù,bạc / bộ
籃,篮,lán,lam / xờm
箱,箱,xiāng,tương / sương / rương
箴,箴,zhēn,châm / chăm / giằm / dăm / giăm
箸,箸,zhù,trợ / giạ / trứ
節,节,jié,tiết / tiệt
築,筑,zhú,trúc / trốc
篙,篙,gāo,cao / gàu
篝,篝,gōu,câu / quảu
篡,篡,cuàn,soán / choán
筥,筥,jǔ,cử / rá
筩,筩,tóng,đồng / thúng
筭,筭,suàn,toán / toan
筮,筮,shì,phệ / thệ / vầu
筲,筲,shāo,sao / sáo
筴,䇲,cè,giáp / sách / hiệp
箕,箕,jī,cơ / ky / kia
箭,箭,jiàn,tiễn / tiến
絞,绞,jiǎo,hào / giảo
絡,络,luò,lạc / rạc
絲,丝,sī,ti / tơ
絺,𫄨,chī,hi / sì
綏,绥,suī,tuy / thỏa / nối
綜,综,zōng,tông / tống
綢,绸,chóu,trù / thao
綣,绻,quǎn,quyển / cuộn
細,细,xì,tế / tới
紳,绅,shēn,thang / thân
紾,紾,zhěn,chẩn / diễn
絀,绌,chù,chuyết / truất
絆,绊,bàn,bận / bán
絏,絏,xiè,tiết / dây
絖,絖,kuàng,quang / khoáng
絜,絜,jié,khiết / hiệt / kiết
純,纯,chún,thuần / truy / đồn / chuẩn
紕,纰,pī,phi / bì
紡,纺,fǎng,phưởng / vưởng
索,索,suǒ,sách / tác
紩,紩,zhì,thắt / dệt
紫,紫,zǐ,tử / tía
紬,䌷,chóu,trừu / dò
累,累,lèi,lũy / luy / lụy / luỵ
粳,粳,jīng,canh / ngạnh / cánh
粹,粹,cuì,túy / tuý
糝,糁,sǎn,tảm / tấm
糞,粪,fèn,phân / phẩn
糾,纠,jiū,kiểu / củ
紆,纡,yū,hu / u / vò
紉,纫,rèn,nhân / nhận
紐,纽,niǔ,nữu / néo
縹,缥,piǎo,phiếu / phiêu
繁,繁,fán,bàn / phồn
繃,绷,běng / bēng,banh / băng
繅,缫,sāo,tảo / sào
繆,缪,móu,cù / mâu / mục / mậu
繇,繇,yáo,diêu / lựu / do / chựu
繓,繓,zuǒ,túi / trói / tói
織,织,zhī,chí / xí / chức
縕,缊,yùn,uân / uẩn / ôn
縛,缚,fù,phược / phọc
縟,缛,rù,nhục / nhọc
縣,县,xiàn,huyền / huyện
縫,缝,fèng,phùng / phúng
縱,纵,zòng,tổng / tung / túng
縵,缦,màn,man / mạn
縷,缕,lǚ,lũ / lâu / lụa
緡,缗,mín,mân / mần
